"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Michael Porter Jr.","DEN","SF,PF OUT","17.4","7.2","1.5","0.7","0.9",".488",".773","2.3","63","32.0","1.4"
"Miles Bridges","CHA","SF,PF","17.3","6.6","3.1","0.8","0.8",".485",".804","1.9","39","33.2","1.8"
"Gordon Hayward","CHA","SG,SF DTD","17.2","4.9","3.7","0.4","1.0",".460",".849","1.9","62","31.7","1.7"
"Spencer Dinwiddie","DAL","PG,SG","16.9","4.1","5.9","0.2","0.7",".428",".773","1.9","71","31.8","2.1"
"OG Anunoby","TOR","SF,PF DTD","16.8","5.6","2.7","0.5","1.5",".448",".750","2.4","68","35.9","1.7"
"Lauri Markkanen","UTH","PF,C","16.7","6.5","1.4","0.5","0.8",".450",".868","2.5","69","31.9","1.1"
"Luguentz Dort","OKC","SG,SF","16.7","4.1","1.8","0.4","0.9",".411",".825","2.4","67","32.5","2.0"
"Franz Wagner","ORL","SG,SF DTD","16.5","4.7","2.8","0.5","0.9",".456",".866","1.5","78","31.7","1.6"
"Christian Wood","DAL","PF,C","16.5","9.2","1.9","1.0","0.7",".502",".633","1.7","71","29.4","1.8"
"John Collins","ATL","PF,C DTD","16.4","8.1","1.7","1.0","0.6",".531",".806","1.2","70","30.7","1.2"
"Buddy Hield","IND","SG,SF","16.4","4.6","3.5","0.3","0.9",".417",".857","3.4","75","31.9","1.8"
"Evan Mobley","CLE","C,PF OUT","16.4","8.7","2.5","1.9","0.8",".501",".684","0.5","74","34.3","2.0"
"Russell Westbrook III","LAL","PG DTD","16.4","6.3","6.0","0.3","0.9",".441",".664","0.9","76","30.4","3.3"
"Jonas Valanciunas","NOR","C DTD","16.4","11.0","2.0","0.8","0.6",".552",".805","0.6","73","29.2","2.0"
"Jerami Grant","POR","SF,PF","16.3","4.1","2.2","1.0","0.9",".440",".836","1.7","71","32.9","1.8"
"Kyle Kuzma","WAS","SF,PF DTD","16.3","8.3","3.1","0.9","0.6",".453",".713","1.8","73","33.3","2.3"
"Jordan Clarkson","UTH","PG,SG DTD","16.2","3.5","2.5","0.2","0.8",".428",".822","2.5","74","26.6","1.5"
"Keegan Murray","SAC","PF","16.0","5.2","1.4","1.0","0.9",".482",".755","1.5","73","31.1","1.4"
"Jaren Jackson Jr.","MEM","PF,C OUT","15.9","6.9","1.3","2.1","0.9",".423",".814","1.6","43","27.0","1.7"
"Devin Vassell","SAS","SG,SF DTD","15.9","5.2","2.5","0.6","1.2",".438",".869","2.4","73","32.7","1.1"
"Kelly Oubre Jr.","CHA","SG,SF,PF","15.8","4.5","1.2","0.5","1.1",".433",".677","2.5","74","28.7","1.0"
"Norman Powell","LAC","SG,SF DTD","15.8","2.9","1.8","0.3","0.9",".464",".827","2.2","69","28.3","1.4"
"Malcolm Brogdon","BOS","PG,SG","15.5","4.3","5.3","0.3","0.7",".446",".868","1.4","63","28.7","2.0"
"Malik Beasley","UTH","PG,SG,SF","15.4","3.7","1.9","0.2","0.7",".421",".846","3.0","73","29.3","1.1"
"Tobias Harris","PHI","SF,PF","15.3","6.4","3.2","0.6","0.6",".485",".862","1.4","75","33.5","1.6"
"Caris LeVert","CLE","SG,SF DTD","15.3","3.5","3.5","0.4","0.9",".439",".753","1.3","69","29.3","1.9"
"Bogdan Bogdanovic","ATL","SF,PF,SG DTD","15.2","4.1","3.0","0.2","1.1",".431",".841","2.7","66","29.6","1.3"
"Jaden Ivey","DET","PG","15.2","4.1","3.7","0.4","1.0",".434",".766","1.7","74","30.7","2.3"
"Harrison Barnes","SAC","SF,PF","15.1","5.5","2.5","0.2","0.7",".472",".828","1.7","76","32.7","1.4"
"Jarrett Allen","CLE","C","15.0","10.6","1.6","1.4","0.7",".642",".711","0.0","72","32.0","1.7"
"Tim Hardaway Jr.","DAL","SG,SF","15.0","3.5","2.1","0.1","0.8",".418",".767","2.5","68","28.4","0.9"
"Alperen Sengun","HOU","C","14.9","7.6","3.6","1.2","1.1",".475",".742","0.7","77","30.8","3.0"
"Jalen Suggs","ORL","PG,SG DTD","14.8","4.1","5.2","0.5","1.5",".420",".772","1.3","70","31.3","2.8"
"Chris Paul","PHO","PG DTD","14.8","4.2","9.7","0.3","1.6",".492",".853","1.1","67","31.7","2.3"
"Jabari Smith Jr.","HOU","PF","14.7","5.0","1.6","1.1","0.9",".436",".777","1.7","73","29.6","1.6"
"Rudy Gobert","MIN","C","14.5","12.9","1.1","2.0","0.7",".680",".658","0.0","74","31.5","1.7"
"Ben Simmons","BKN","PG","14.4","7.8","7.1","0.6","1.7",".550",".642","0.2","65","33.0","3.1"
"Josh Giddey","OKC","PG,SG","14.4","7.3","7.4","0.4","1.0",".425",".727","1.4","69","33.5","2.7"
"Mikal Bridges","PHO","SG,SF","14.3","4.3","2.2","0.5","1.1",".516",".850","1.5","79","34.7","0.9"
"Chris Duarte","IND","SG DTD","14.3","4.2","2.1","0.2","1.1",".440",".833","1.8","72","30.0","1.7"
"Cole Anthony","ORL","PG DTD","14.3","4.8","4.9","0.3","0.7",".392",".856","1.8","70","28.5","2.6"
"Wendell Carter Jr.","ORL","C DTD","14.3","9.7","2.2","0.8","0.6",".519",".705","0.9","71","29.5","1.7"
"Aaron Gordon","DEN","SF,PF DTD","14.3","5.8","2.6","0.6","0.6",".489",".723","1.2","74","30.9","1.8"
"Jusuf Nurkic","POR","C","14.2","10.7","2.9","0.8","1.1",".515",".673","0.3","67","28.5","2.5"
"Jalen Smith","IND","PF,C","14.1","7.1","0.7","1.2","0.4",".509",".777","1.3","72","28.5","1.2"
"Kyle Lowry","MIA","PG DTD","14.1","4.7","7.0","0.3","1.1",".440",".864","2.3","62","32.9","2.6"
"Victor Oladipo","MIA","SG,SF","14.0","3.4","3.7","0.2","0.8",".430",".744","1.9","63","25.4","2.2"
"Mike Conley","UTH","PG","14.0","3.4","5.5","0.2","1.3",".430",".812","2.3","65","28.1","1.8"
"Jakob Poeltl","SAS","C","14.0","9.6","2.8","1.8","0.7",".616",".490","0.0","70","29.4","1.6"
"Bennedict Mathurin","IND","SF","13.9","3.9","1.7","0.3","0.8",".425",".790","1.9","73","29.4","1.6"
"Bobby Portis Jr.","MIL","PF,C","13.8","8.6","1.2","0.6","0.7",".485",".695","1.7","74","26.1","1.1"
"Marvin Bagley III","DET","PF,C","13.5","7.5","1.1","0.5","0.5",".502",".660","0.8","69","26.0","1.3"
"Reggie Jackson","LAC","PG,SG","13.5","3.4","3.9","0.2","0.7",".420",".851","1.8","74","26.7","1.9"
"John Wall","LAC","PG","13.5","2.2","5.8","0.4","1.1",".409",".741","1.3","58","27.0","3.2"
"Myles Turner","IND","PF,C","13.4","7.3","1.0","2.8","0.7",".495",".767","1.5","68","30.1","2.1"
"James Wiseman","GSW","C","13.4","6.7","0.8","1.1","0.3",".526",".634","0.4","66","24.8","1.8"
