"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Trevor Keels","NYK","SF","2.0","0.4","0.4","0.0","0.1",".355",".490","0.4","14","5.6","0.4"
"Feron Hunt","NYK","SF G-League","2.0","1.4","0.6","0.1","0.3",".399",".757","0.5","20","5.7","0.5"
"Tyrese Martin","ATL","G","1.9","0.3","0.3","0.1","0.2",".378",".736","0.2","23","5.7","0.3"
"Peyton Watson","DEN","SF","1.7","0.6","0.4","0.2","0.2",".348",".754","0.2","12","5.8","0.3"
"Udonis Haslem","MIA","PF,C","1.7","20.0","0.3","0.2","0.2",".399",".664","0.2","6","4.7","0.3"
"Yannick Nzosa","WAS","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Patrick Baldwin Jr.","GSW","G","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Goga Bitadze","IND","C DTD","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Moses Brown","CLE","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Vince Williams Jr.","MEM","F","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Isaiah Mobley","CLE","F","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Wendell Moore Jr.","MIN","F","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Jarrett Culver","ATL","PG,SG,SF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Ty Jerome","OKC","PG,SG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Frank Jackson","DET","PG,SG DTD","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Gabe York","IND","G","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Willie Cauley-Stein","HOU","PF,C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Jock Landale","PHO","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Duane Washington Jr.","PHO","PG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Day'Ron Sharpe","BKN","PF,C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Kai Jones","CHA","C,PF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Denzel Valentine","BOS","SG,SF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Jaden Hardy","DAL","G","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Facundo Campazzo","DEN","PG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Christian Koloko","TOR","PF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Vernon Carey Jr.","WAS","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Tony Bradley","CHI","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Moussa Diabate","LAC","PF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"E.J. Liddell","NOR","PF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Luka Garza","MIN","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Ismael Kamagate","DEN","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Nick Richards","CHA","C DTD","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Khalifa Diop","CLE","C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Khyri Thomas","HOU","SG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Alize Johnson","SAS","SF,PF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Udoka Azubuike","UTH","C OUT","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Luke Travers","CLE","SG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Brandon Goodwin","CLE","PG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Matteo Spagnolo","MIN","PG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Hugo Besson","MIL","PG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
"Chima Moneke","SAC","F","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0","0.0","0.0"
""
""
